datetime,division,district,upazila,temperature,humidity,rainfall,risk_level,hour,day_of_week,month,wind_speed,electricity_demand_mw,generation_capacity_mw,outage_count_last_24h,transformer_load_percent,grid_stability_score
2026-04-13 00:00:00,Sylhet,Habiganj,Bahubal,21.70620932291705,89.7807138045354,0.1625406602157283,Low,-0.0,-0.0,4.0,2.369280443332724,148.94675951956003,138.2077213328142,0.0,88.85066898982932,81.89589982387118
2026-04-13 00:00:00,Sylhet,Habiganj,Bahubal,22.12370305803283,89.12970527340788,0.0250485788904718,Medium,0.0,-0.0,4.0,4.164438436448849,162.99438695905076,126.0255539226303,0.0,101.53670804950838,74.54469144716093
2026-04-13 00:00:00,Sylhet,Habiganj,Baniachong,22.7396977073438,81.37452637634962,0.0,Medium,-0.0,-0.0,4.0,7.900071110619254,190.2506417916169,187.4026516808701,0.0,99.72728235006726,82.61846333564954
2026-04-13 00:00:00,Sylhet,Habiganj,Chunarughat,21.66094825516353,88.13415732870764,0.1239597400207548,Low,-1.0,-0.0,4.0,5.27637570320509,121.88586320398991,124.50611485998026,1.0,78.92698301169675,79.93355032927782
2026-04-13 00:00:00,Sylhet,Habiganj,Habiganj Sadar,22.03621121509304,92.54327873208638,0.0339391010042983,Medium,-0.0,0.0,4.0,4.2318398101008246,173.98104954833397,165.0169313299368,1.0,99.65810953738114,72.63140773535649
2026-04-13 00:00:00,Sylhet,Habiganj,Lakhai,23.480760302291472,84.70146279789536,4.540123618128242,Medium,10.0,3.0,4.0,7.411302500168768,280.0,300.0,2.0,82.78007672545037,69.78763731419018
2026-04-13 00:00:00,Sylhet,Habiganj,Lakhai,21.64868638978419,88.69952504467656,0.0,Low,1.0,-0.0,4.0,1.9593502355416808,125.51472056836256,146.96497841775462,0.0,87.19246479837807,81.39223196421379
2026-04-13 00:00:00,Sylhet,Habiganj,Shayestaganj,22.26036703631518,90.00176993740338,0.0,Low,0.0,-0.0,4.0,0.0159849114036786,130.1560818167442,164.94267807785891,1.0,70.05566708861173,87.68449305013411
2026-04-13 00:00:00,Sylhet,Habiganj,Shayestaganj,21.645392122305505,88.75207417187924,0.0,Medium,0.0,-0.0,4.0,8.847388351019381,167.75786845040605,170.49051802587613,2.0,83.94511094316061,67.06999836764544
2026-04-13 00:00:00,Sylhet,Moulvibazar,Barlekha,22.32048847584326,92.050471967264,0.0,Low,-0.0,-0.0,4.0,5.467682683373112,162.07892486089975,175.45185825322997,1.0,79.3644461748552,75.32238539507861
